case_id,frame,trace_index,stage_route_index,stage_label,player_x,player_y,bombs,power,observed_bomb_cost,post_hit_bomb_stock_decrease,deathbomb_requested,active_bullets,active_lasers,active_items,pipeline_clearance_at_hit,minimum_pipeline_clearance_240f,minimum_corridor_slack_240f,action_lag,action,nearest_bullet_slot,nearest_bullet_clearance,nearest_laser_slot,nearest_laser_clearance,primary_cause_class,planner_failure_class,usable_robust_warning_lead_frames,usable_viability_warning_lead_frames,viability_kernel_exhausted_at_frame,contributing_factors,spell_id,spell_name,spell_attribution_status
EASY-S3-F67903-T1,67903,0,3,Stage 4A / Reimu,352.0,432.0,5.0,128.0,2.0,2.0,False,100,0,0,-0.228546142578125,-12.153411865234375,,2,left_fast,1066,-1.057342529296875,,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,12,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
EASY-S5-F139187-T1,139187,0,5,Stage 5,180.28343200683594,412.20098876953125,6.0,128.0,3.0,3.0,False,426,0,0,-2.1447204649448395,-2.1447204649448395,,4,up_fast,948,0.790130615234375,,,modeled_committed_prefix_collision,late_collision_after_positive_causal_margin,0,0,,,112,散符「真実の月(インビジブルフルムーン)」,resolved_live_spell_state
EASY-S7-F147860-T1,147860,0,7,Final B / Kaguya,199.15713500976562,420.686279296875,3.0,128.0,0.0,0.0,False,190,0,0,10.056134030222893,8.884697556495667,,3,up_fast,790,7.1793129936008055,,,sensor_gap_or_unmodeled_hazard,unresolved_planner_failure,0,0,,fast_mode,,,no_active_spell_at_hit
EASY-S7-F148766-T1,148766,0,7,Final B / Kaguya,376.0,432.0,3.0,121.0,0.0,0.0,False,204,0,0,-1.7925292998552322,-1.7925292998552322,,3,left_fast,1448,-0.0111083984375,,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,4,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
EASY-S7-F151655-T1,151655,0,7,Final B / Kaguya,376.0,403.15576171875,4.0,114.0,1.0,1.0,False,563,0,0,0.5556582510471344,0.5556582510471344,,6,up_right_fast,705,4.249908447265625,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,7,0,,playfield_boundary;action_lag_over_model,147,薬符「壺中の大銀河」,resolved_live_spell_state
EASY-S7-F151990-T1,151990,0,7,Final B / Kaguya,8.0,390.89996337890625,3.0,98.0,0.0,0.0,False,639,0,0,-2.3996633291244507,-2.3996633291244507,,8,stay+deadline_hold,905,2.1359033584594727,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,9,0,,playfield_boundary;action_lag_over_model,147,薬符「壺中の大銀河」,resolved_live_spell_state
EASY-S7-F152333-T1,152333,0,7,Final B / Kaguya,376.0,432.0,3.0,82.0,0.0,0.0,False,607,0,0,1.9208801239728928,1.9208801239728928,,6,left,1114,1.120880126953125,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,7,0,,playfield_boundary;fast_mode,147,薬符「壺中の大銀河」,resolved_live_spell_state
EASY-S7-F152676-T1,152676,0,7,Final B / Kaguya,344.0,432.0,3.0,66.0,0.0,0.0,False,590,0,0,-0.3944753408432007,-4.773773193359375,,6,up_left_fast,98,3.7539265506296693,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,15,0,,playfield_boundary;action_lag_over_model;fast_mode,147,薬符「壺中の大銀河」,resolved_live_spell_state
EASY-S7-F153001-T1,153001,0,7,Final B / Kaguya,376.0,432.0,3.0,50.0,0.0,0.0,False,596,0,0,-0.7962097227573395,-0.7962097227573395,,6,down_left_fast,1492,5.832794189453125,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,15,0,,playfield_boundary;action_lag_over_model,147,薬符「壺中の大銀河」,resolved_live_spell_state
EASY-S7-F153341-T1,153341,0,7,Final B / Kaguya,376.0,409.37255859375,3.0,34.0,0.0,0.0,False,591,0,0,0.7110107392072678,-0.3208374083042145,,5,up_right,794,-0.0889892578125,,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,13,0,,playfield_boundary;fast_mode,147,薬符「壺中の大銀河」,resolved_live_spell_state
EASY-S7-F160787-T1,160787,0,7,Final B / Kaguya,12.879036903381348,432.0,3.0,28.0,0.0,0.0,False,18,135,0,-3.8391776084899902,-3.8391776084899902,,4,down_right,912,5.4943862556694905,72,-2.066980713889471,observed_laser_overlap,robust_action_set_exhausted_before_hit,8,0,,playfield_boundary;fast_mode,151,難題「龍の頸の玉  -五色の弾丸-」,resolved_live_spell_state
EASY-S7-F161864-T1,161864,0,7,Final B / Kaguya,17.200000762939453,432.0,4.0,12.0,1.0,1.0,False,26,215,0,-4.4301177859306335,-4.4301177859306335,,4,right_fast,1030,60.566802978515625,139,-0.7633684129565381,observed_laser_overlap,robust_action_set_exhausted_before_hit,9,0,,playfield_boundary;fast_mode,151,難題「龍の頸の玉  -五色の弾丸-」,resolved_live_spell_state
EASY-S7-F162451-T1,162451,0,7,Final B / Kaguya,376.0,414.180908203125,3.0,8.0,0.0,0.0,False,17,210,0,-3.6130619049072266,-3.6130619049072266,,4,left_fast,1077,43.49224853515625,112,-0.016719666231445274,observed_laser_overlap,robust_action_set_exhausted_before_hit,50,0,,playfield_boundary;fast_mode,151,難題「龍の頸の玉  -五色の弾丸-」,resolved_live_spell_state
