case_id,sample_role,frame,spell_id,spell_name,player_x,player_y,power,action,mask,issued_action_after_hit_detection,active_bullets,active_lasers,pipeline_clearance,minimum_pipeline_clearance_240f,minimum_corridor_slack_240f,nearest_bullet_clearance,nearest_laser_clearance,primary_cause_class,planner_failure_class,usable_pipeline_warning_lead_frames,usable_robust_warning_lead_frames,usable_viability_warning_lead_frames,viability_kernel_exhausted_at_frame,contributing_factors,bomb_input_verified_absent
EASY-S7-F10843-T1,canonical_fresh_attempt_causal_sample,10843,147,薬符「壺中の大銀河」,376.0,420.518310546875,128.0,stay,5,up_right_fast,625,0,-11.1435546875,-11.1435546875,11.471295913643853,5.46453857421875,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,7,71,10772,playfield_boundary;action_lag_over_model,True
EASY-S7-F11169-T1,post_respawn_discovery_sample,11169,147,薬符「壺中の大銀河」,376.0,411.847412109375,112.0,up_right,149,left_fast,598,0,-0.4767546057701111,-0.4767546057701111,-19.943870273436737,0.7991943359375,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,0,20,11149,playfield_boundary;corridor_deadline_miss;action_lag_over_model,True
EASY-S7-F11477-T1,post_respawn_discovery_sample,11477,147,薬符「壺中の大銀河」,8.0,410.30438232421875,96.0,down_left_fast,97,right,611,0,-2.2905935049057007,-2.2905935049057007,-17.266136169433594,-2.72039794921875,,observed_bullet_overlap,missing_pre_hit_alive_decision,0,0,0,,playfield_boundary;corridor_deadline_miss;fast_mode,True
EASY-S7-F11805-T1,post_respawn_discovery_sample,11805,147,薬符「壺中の大銀河」,8.0,423.313720703125,81.0,down_left_fast,97,stay,553,0,6.892347574234009,2.0390334129333496,11.292893206711835,-1.825836181640625,,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,0,0,8,11797,playfield_boundary;action_lag_over_model;fast_mode,True
EASY-S7-F12138-T1,post_respawn_discovery_sample,12138,147,薬符「壺中の大銀河」,8.0,359.93255615234375,65.0,up_fast,17,up_fast+deadline_hold,559,0,-1.836390733718872,-1.836390733718872,-19.079883852252273,5.191802978515625,,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,0,0,17,12121,playfield_boundary;corridor_deadline_miss;action_lag_over_model;fast_mode,True
EASY-S7-F21298-T1,post_respawn_discovery_sample,21298,151,難題「龍の頸の玉  -五色の弾丸-」,8.0,430.3736572265625,64.0,up_left,85,down_left,21,135,-2.8836653232574463,-2.8836653232574463,9.001296997070312,42.09977677645371,0.37230618725276443,modeled_committed_prefix_collision,global_viability_kernel_exhausted_before_hit,7,11,87,21211,playfield_boundary,True
EASY-S7-F21640-T1,post_respawn_discovery_sample,21640,151,難題「龍の頸の玉  -五色の弾丸-」,30.627412796020508,432.0,49.0,down_right_fast,161,down_right_fast+deadline_hold,17,205,-4.43551766872406,-4.43551766872406,-15.548309712568049,-1.9802494049072266,8.360306912811804,observed_bullet_overlap,global_viability_kernel_exhausted_before_hit,0,0,32,21608,playfield_boundary;corridor_deadline_miss;action_lag_over_model;fast_mode,True
EASY-S7-F22211-T1,post_respawn_discovery_sample,22211,151,難題「龍の頸の玉  -五色の弾丸-」,366.241943359375,432.0,34.0,stay,5,stay+deadline_hold,22,225,2.364612102508545,-1.4513955116271973,-13.3954808263167,103.11786048989667,4.65987337529492,active_laser_without_observed_overlap,global_viability_kernel_exhausted_before_hit,0,0,38,22173,playfield_boundary;corridor_deadline_miss;action_lag_over_model,True
EASY-S7-F22970-T1,post_respawn_discovery_sample,22970,151,難題「龍の頸の玉  -五色の弾丸-」,376.0,432.0,21.0,up_left_fast,81,left_fast,22,225,-2.273974895477295,-3.5201891660690308,-4.6492462158203125,66.4985621895911,-2.7701902153366573,observed_laser_overlap,global_viability_kernel_exhausted_before_hit,23,23,65,22905,playfield_boundary;corridor_deadline_miss;fast_mode,True
EASY-S7-F23345-T1,post_respawn_discovery_sample,23345,151,難題「龍の頸の玉  -五色の弾丸-」,37.274234771728516,432.0,5.0,down_right,165,down_right+deadline_hold,22,205,-4.984062850475311,-4.984062850475311,-19.192388312746147,80.8474235534668,-1.7865174363960397,observed_laser_overlap,global_viability_kernel_exhausted_before_hit,0,0,66,23279,playfield_boundary;corridor_deadline_miss;action_lag_over_model,True
