case_id,frame,trace_index,stage_route_index,stage_label,player_x,player_y,bombs,power,observed_bomb_cost,post_hit_bomb_stock_decrease,deathbomb_requested,active_bullets,active_lasers,active_items,pipeline_clearance_at_hit,minimum_pipeline_clearance_240f,minimum_corridor_slack_240f,action_lag,action,nearest_bullet_slot,nearest_bullet_clearance,nearest_laser_slot,nearest_laser_clearance,primary_cause_class,planner_failure_class,usable_robust_warning_lead_frames,usable_viability_warning_lead_frames,viability_kernel_exhausted_at_frame,contributing_factors,spell_id,spell_name,spell_attribution_status
LUN-S0-F1874-T1,1874,0,0,Stage 1,327.8682861328125,432.0,3.0,1.0,0.0,0.0,False,156,0,0,-0.5221923887729645,-0.5221923887729645,,4,up_fast,1114,2.391754150390625,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,5,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S0-F4840-T1,4840,0,0,Stage 1,376.0,432.0,3.0,11.0,0.0,0.0,False,373,0,0,-0.2879086434841156,-0.2879086434841156,,3,left_fast,1397,1.34814453125,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,4,0,,playfield_boundary,1,蛍符「地上の彗星」,resolved_live_spell_state
LUN-S0-F7330-T1,7330,0,0,Stage 1,8.0,432.0,3.0,4.0,0.0,0.0,False,312,0,0,-2.7671855688095093,-2.7671855688095093,,4,right_fast,1481,0.5055828094482422,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,5,0,,playfield_boundary,,,no_active_spell_at_hit
LUN-S0-F13917-T1,13917,0,0,Stage 1,376.0,420.0,4.0,2.0,1.0,1.0,False,423,0,0,10.856945797801018,-0.20966088771820068,,3,stay,1090,-1.664520263671875,,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,8,0,,playfield_boundary;fast_mode,5,灯符「ファイヤフライフェノメノン」,resolved_live_spell_state
LUN-S1-F22051-T1,22051,0,1,Stage 2,8.789223670959473,326.7994384765625,3.0,9.0,0.0,0.0,False,193,0,0,-1.6585751473903656,-1.6585751473903656,,8,stay+deadline_hold,216,-0.710301399230957,,,observed_bullet_overlap,late_collision_after_positive_causal_margin,0,0,,playfield_boundary;action_lag_over_model,,,no_active_spell_at_hit
LUN-S1-F23036-T1,23036,0,1,Stage 2,361.85784912109375,417.85784912109375,3.0,4.0,0.0,0.0,False,163,0,0,-0.4759877920150757,-4.147430419921875,,5,down_fast,1269,-2.1861572265625,,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,16,0,,fast_mode,,,no_active_spell_at_hit
LUN-S1-F24340-T1,24340,0,1,Stage 2,8.0,420.686279296875,3.0,0.0,0.0,0.0,False,137,0,0,-2.894056409597397,-2.894056409597397,,3,up_fast,104,1.5344924926757812,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,8,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S1-F25280-T1,25280,0,1,Stage 2,19.31370735168457,432.0,3.0,0.0,0.0,0.0,False,82,0,0,-0.3347550332546234,-0.3347550332546234,,3,right_fast,1330,1.4326305389404297,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,4,0,,playfield_boundary,,,no_active_spell_at_hit
LUN-S1-F39019-T1,39019,0,1,Stage 2,8.0,325.2816162109375,3.0,21.0,0.0,0.0,False,914,0,0,-1.475836157798767,-1.475836157798767,,3,up,1530,10.723709106445312,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,4,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S1-F39456-T1,39456,0,1,Stage 2,376.0,432.0,3.0,6.0,0.0,0.0,False,821,0,0,-0.7992611825466156,-0.7992611825466156,,3,up_left_fast,1415,9.170153039541356,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,4,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S1-F39955-T1,39955,0,1,Stage 2,342.67584228515625,432.0,3.0,2.0,0.0,0.0,False,145,0,0,0.08794555068016052,-2.6517395079135895,,2,up_fast,268,-3.251739501953125,,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,7,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S2-F46362-T1,46362,0,2,Stage 3,8.0,422.800048828125,3.0,25.0,0.0,0.0,False,335,0,0,-1.4860897958278656,-1.4860897958278656,,3,up_fast,59,0.7648487091064453,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,8,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S2-F47043-T1,47043,0,2,Stage 3,8.0,432.0,3.0,10.0,0.0,0.0,False,299,0,0,-0.846941351890564,-0.846941351890564,,4,up,1297,3.6453907245420316,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,5,0,,playfield_boundary,,,no_active_spell_at_hit
LUN-S2-F48203-T1,48203,0,2,Stage 3,73.34817504882812,425.49462890625,3.0,3.0,0.0,0.0,False,374,0,0,-1.0645019561052322,-1.0645019561052322,,3,right,808,-0.0860595703125,,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,4,0,,fast_mode,,,no_active_spell_at_hit
LUN-S2-F51504-T1,51504,0,2,Stage 3,8.0,421.446044921875,3.0,2.0,0.0,0.0,False,600,0,0,-2.8831463754177094,-2.8831463754177094,,3,down_right,35,7.984954833984375,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,4,0,,playfield_boundary;fast_mode,35,産霊「ファーストピラミッド」,resolved_live_spell_state
LUN-S2-F53024-T1,53024,0,2,Stage 3,376.0,432.0,4.0,6.0,1.0,1.0,False,572,0,0,1.3203552216291428,0.7281329333782196,,5,up_fast,832,-1.115631103515625,,,observed_bullet_overlap,robust_action_set_exhausted_before_hit,12,0,,playfield_boundary,,,no_active_spell_at_hit
LUN-S3-F75093-T1,75093,0,3,Stage 4A / Reimu,360.0,432.0,4.0,68.0,1.0,1.0,False,312,0,0,-0.7991699278354645,-0.7991699278354645,,4,up_left_fast,523,5.292900964172674,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,14,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S3-F76604-T1,76604,0,3,Stage 4A / Reimu,8.0,409.34783935546875,3.0,62.0,0.0,0.0,False,745,0,0,-2.4655202627182007,-2.4655202627182007,,4,right_fast,1424,0.6321868896484375,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,10,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S3-F77047-T1,77047,0,3,Stage 4A / Reimu,17.200000762939453,425.49462890625,3.0,54.0,0.0,0.0,False,1320,0,0,-0.7210303246974945,-0.7210303246974945,,4,up_fast,549,3.440826416015625,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,5,0,,pool_density_over_1000;fast_mode,,,no_active_spell_at_hit
LUN-S3-F81445-T1,81445,0,3,Stage 4A / Reimu,131.9586181640625,408.0,3.0,39.0,0.0,0.0,False,446,0,0,2.032595008611679,2.032595008611679,,5,left_fast,733,27.71280277882306,,,sensor_gap_or_unmodeled_hazard,unresolved_planner_failure,0,0,,fast_mode,,,no_active_spell_at_hit
LUN-S3-F82887-T1,82887,0,3,Stage 4A / Reimu,99.12741088867188,432.0,4.0,23.0,1.0,1.0,False,528,0,0,-1.8350402861833572,-1.8350402861833572,,3,left_fast,102,1.6105998864675402,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,13,0,,playfield_boundary;fast_mode,,,no_active_spell_at_hit
LUN-S3-F84193-T1,84193,0,3,Stage 4A / Reimu,8.0,432.0,4.0,8.0,1.0,1.0,False,577,0,0,-0.449129194021225,-0.449129194021225,,2,up_right_fast,650,3.056884765625,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,3,0,,playfield_boundary,57,夢境「二重大結界」,resolved_live_spell_state
LUN-S3-F84944-T1,84944,0,3,Stage 4A / Reimu,10.300000190734863,432.0,3.0,1.0,0.0,0.0,False,612,0,0,-0.3765537291765213,-0.6133911162614822,,3,up_fast,1238,1.8622617721557617,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,4,0,,playfield_boundary,57,夢境「二重大結界」,resolved_live_spell_state
LUN-S3-F85535-T1,85535,0,3,Stage 4A / Reimu,8.0,431.33880615234375,3.0,0.0,0.0,0.0,False,597,0,0,-0.49664410948753357,-0.49664410948753357,,3,up_right,245,3.1159543991088867,,,modeled_committed_prefix_collision,robust_action_set_exhausted_before_hit,4,0,,playfield_boundary;fast_mode,57,夢境「二重大結界」,resolved_live_spell_state
LUN-S3-F85921-T1,85921,0,3,Stage 4A / Reimu,30.426010131835938,342.164306640625,3.0,1.0,0.0,0.0,False,587,0,0,28.394555658102036,20.799999997019768,,3,down_fast,1315,30.3380126953125,,,sensor_gap_or_unmodeled_hazard,unresolved_planner_failure,0,0,,,57,夢境「二重大結界」,resolved_live_spell_state
